Time, AccelerometerX, AccelerometerY, AccelerometerZ 
4.06, -0.196, -10.091, 0.531
4.07, -0.196, -10.06, 0.576
4.08, -0.196, -10.098, 0.569
4.09, -0.275, -10.105, 0.608
4.1, -0.275, -10.098, 0.569
4.11, -0.235, -10.073, 0.654
4.12, -0.235, -10.066, 0.615
4.13, -0.235, -10.105, 0.608
4.14, -0.235, -10.137, 0.563
4.15, -0.235, -10.15, 0.64
4.16, -0.235, -10.13, 0.524
4.17, -0.196, -10.098, 0.569
4.18, -0.235, -10.137, 0.563
4.19, -0.196, -10.13, 0.524
4.2, -0.196, -10.15, 0.64
4.21, -0.157, -10.105, 0.608
4.22, -0.157, -10.091, 0.531
4.23, -0.196, -10.105, 0.608
4.24, -0.157, -10.085, 0.492
4.25, -0.196, -10.085, 0.492
4.26, -0.235, -10.091, 0.531
4.27, -0.235, -10.105, 0.608
4.28, -0.235, -10.098, 0.569
4.29, -0.235, -10.098, 0.569
4.3, -0.235, -10.053, 0.538
4.31, -0.235, -10.091, 0.531
4.32, -0.275, -10.085, 0.492
4.33, -0.275, -10.039, 0.46
4.34, -0.275, -10.085, 0.492
4.35, -0.314, -10.112, 0.647
4.36, -0.275, -10.06, 0.576
4.37, -0.275, -10.085, 0.492
4.38, -0.275, -10.091, 0.531
4.39, -0.275, -10.105, 0.608
4.4, -0.275, -10.144, 0.601
4.41, -0.235, -10.144, 0.601
4.42, -0.196, -10.137, 0.563
4.43, -0.196, -10.08, 0.692
4.44, -0.157, -10.144, 0.601
4.45, -0.196, -10.144, 0.601
4.46, -0.196, -10.112, 0.647
4.47, -0.196, -10.105, 0.608
4.48, -0.196, -10.119, 0.685
4.49, -0.196, -10.091, 0.531
4.5, -0.196, -10.105, 0.608
4.51, -0.235, -10.137, 0.563
4.52, -0.196, -10.091, 0.531
4.53, -0.196, -10.123, 0.485
4.54, -0.235, -10.066, 0.615
4.55, -0.235, -10.098, 0.569
4.56, -0.196, -10.105, 0.608
4.57, -0.235, -10.057, 0.338
4.58, -0.196, -10.087, 0.731
4.59, -0.157, -10.098, 0.569
4.6, -0.196, -10.085, 0.492
4.61, -0.196, -10.098, 0.569
4.62, -0.157, -10.078, 0.454
4.63, -0.157, -10.137, 0.563
4.64, -0.157, -10.137, 0.563
4.65, -0.196, -10.091, 0.531
4.66, -0.157, -10.105, 0.608
4.67, -0.235, -10.091, 0.531
4.68, -0.196, -10.066, 0.615
4.69, -0.157, -10.046, 0.499
4.7, -0.157, -10.021, 0.583
4.71, -0.196, -10.073, 0.654
4.72, -0.235, -10.078, 0.454
4.73, -0.157, -10.078, 0.454
4.74, -0.157, -10.078, 0.454
4.75, -0.157, -10.112, 0.647
4.76, -0.157, -10.091, 0.531
4.77, -0.157, -10.112, 0.647
4.78, -0.157, -10.091, 0.531
4.79, -0.157, -10.144, 0.601
4.8, -0.157, -10.15, 0.64
4.81, -0.157, -10.182, 0.594
4.82, -0.157, -10.175, 0.556
4.83, -0.157, -10.144, 0.601
4.84, -0.196, -10.119, 0.685
4.85, -0.157, -10.105, 0.608
4.86, -0.157, -10.066, 0.615
4.87, -0.157, -10.066, 0.615
4.88, -0.157, -10.091, 0.531
4.89, -0.118, -10.098, 0.569
4.9, -0.157, -10.085, 0.492
4.91, -0.157, -10.091, 0.531
4.92, -0.157, -10.144, 0.601
4.93, -0.157, -10.137, 0.563
4.94, -0.157, -10.091, 0.531
4.95, -0.118, -10.098, 0.569
4.96, -0.118, -10.169, 0.517
4.97, -0.157, -10.13, 0.524
4.98, -0.157, -10.119, 0.685
4.99, -0.118, -10.15, 0.64
5.0, -0.118, -10.091, 0.531
5.01, -0.078, -10.085, 0.492
5.02, -0.078, -10.13, 0.524
5.03, -0.118, -10.13, 0.524
5.04, -0.157, -10.098, 0.569
5.05, -0.157, -10.053, 0.538
5.06, -0.157, -10.06, 0.576
5.07, -0.118, -10.085, 0.492
5.08, -0.078, -10.105, 0.608
5.09, -0.118, -10.085, 0.492
5.1, -0.118, -10.112, 0.647
5.11, -0.118, -10.112, 0.647
5.12, -0.118, -10.091, 0.531
5.13, -0.157, -10.13, 0.524
5.14, -0.118, -10.175, 0.556
5.15, -0.118, -10.164, 0.717
5.16, -0.078, -10.137, 0.563
5.17, -0.078, -10.169, 0.517
5.18, -0.039, -10.137, 0.563
5.19, -0.039, -10.15, 0.64
5.2, -0.039, -10.098, 0.569
5.21, -0.078, -10.098, 0.569
5.22, -0.118, -10.15, 0.64
5.23, -0.118, -10.13, 0.524
5.24, -0.118, -10.13, 0.524
5.25, -0.157, -10.13, 0.524
5.26, -0.157, -10.189, 0.633
5.27, -0.157, -10.15, 0.64
5.28, -0.157, -10.098, 0.569
5.29, -0.157, -10.085, 0.492
5.3, -0.196, -10.137, 0.563
5.31, -0.196, -10.13, 0.524
5.32, -0.157, -10.13, 0.524
5.33, -0.157, -10.137, 0.563
5.34, -0.157, -10.137, 0.563
5.35, -0.157, -10.137, 0.563
5.36, -0.157, -10.091, 0.531
5.37, -0.157, -10.105, 0.608
5.38, -0.157, -10.091, 0.531
5.39, -0.118, -10.039, 0.46
5.4, -0.078, -10.144, 0.601
5.41, -0.039, -10.091, 0.531
5.42, 0.0, -10.091, 0.531
5.43, 0.0, -10.105, 0.608
5.44, 0.0, -10.105, 0.608
5.45, 0.0, -10.098, 0.569
5.46, -0.039, -10.098, 0.569
5.47, 0.0, -10.119, 0.685
5.48, 0.0, -10.137, 0.563
5.49, -0.039, -10.137, 0.563
5.5, 0.0, -10.137, 0.563
5.51, -0.078, -10.184, 0.833
5.52, -0.039, -10.196, 0.672
5.53, -0.039, -10.175, 0.556
5.54, -0.078, -10.13, 0.524
5.55, -0.039, -10.137, 0.563
5.56, -0.039, -10.098, 0.569
5.57, -0.039, -10.078, 0.454
5.58, -0.039, -10.105, 0.608
5.59, -0.078, -10.123, 0.485
5.6, -0.039, -10.144, 0.601
5.61, -0.039, -10.144, 0.601
5.62, -0.039, -10.137, 0.563
5.63, -0.039, -10.137, 0.563
